demand_id,plan_type,fabric_category,internal_item_id,item_id,max_production_limit,min_production_period,max_production_period,arrival_date,type,priority,history_supplier_id,algo_finished,algo_physical_supplier_id,designated_physical_supplier_id,forced_using_private_capacity,shared_capacity_availability,advancement_candidate,manual_arrival_date,valid,create_time,update_time
1585937137612681247,1,针织,202223117204,C46917803,1,-1,-1,2022-11-15,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137612681248,1,针织,202223117204,C46917803,1,-1,-1,2022-11-15,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137612681249,1,针织,202223117204,C46917803,1,-1,-1,2022-11-15,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137612681250,1,针织,202223117204,C46917803,1,-1,-1,2022-11-15,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137612681251,1,针织,202223117121,C46917802,1,-1,-1,2022-11-15,预估单,蓝单,0003000019,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137612681252,1,针织,202223117121,C46917802,1,-1,-1,2022-11-15,预估单,蓝单,0003000019,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137612681253,1,针织,202223117121,C46917802,1,-1,-1,2022-11-15,预估单,蓝单,0003000019,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875522,1,针织,202223117121,C46917802,1,-1,-1,2022-11-15,预估单,蓝单,0003000019,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875523,1,针织,202223113104,C49153183,1,-1,-1,2022-11-08,预估单,蓝单,0003000681,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875524,1,针织,202223113104,C49153183,1,-1,-1,2022-11-08,预估单,蓝单,0003000681,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875525,1,针织,202223113104,C49153183,1,-1,-1,2022-11-08,预估单,蓝单,0003000681,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875526,1,针织,202223113104,C49153183,1,-1,-1,2022-11-08,预估单,蓝单,0003000681,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875527,1,针织,202223105107,C47067832,2,-1,-1,2022-11-14,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137616875528,1,针织,202223105107,C47067832,2,-1,-1,2022-11-14,预估单,蓝单,0003000924,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
